reason	eval	marked	sent_id	subj	obj	verb	subj_marked	criterion_subj	obj_marked	criterion_obj	verb_marked	criterion_verb	wo	sent_text	clause_type	subclause_type	subj_pos	obj_pos	subj_anim	obj_anim	subj_case	obj_case	wo_so	demoted_verb	verb_lemma
	1	false	w01003056	острова	Сейшелы	включают	false	NP syncretism: Inan Masc, and modifier does not help	false	Indeclinable: Fem Nom=Acc; and conjuncts do not help	false		SVO	Гранитные острова включают в себя Сейшелы, Тиоман и вулканические острова, такие как остров Святой Елены.	main		NOUN	PROPN	Inan	Inan	Nom	Acc	SO		включать
	1	false	2011Formula-1.xml_157	экономичность	значение	приобретает	false	Nominal syncretism: Fem Nom=Acc (third declension, singular)	false	NP syncretism: Neut Inan, and modifier does not help	false		OVS	В 2010 году в связи с отменой дозаправок особое значение приобретает экономичность мотора, так как на старте у машин с более экономичными моторами может быть меньше топлива.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	OS		приобретать
	1	false	2006Syuzhet.xml_20	устройства	отклонения	скорректируют	false	NP syncretism: Neut Inan, and modifier does not help	false	NP syncretism: Neut Inan, and modifier does not help	false		SVO	Другие же устройства скорректируют все отклонения от нормы в функционировании организма.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		корректировать
	1	false	2006Vinnyi_kamen.xml_6	Онищенко	удар	нанес	false	Indeclinable: Anim Masc: lemma ends in о	false	NP syncretism: Inan Masc, and modifier does not help	false		SVO	Затем Онищенко нанес новый удар: вечером 9 апреля он подписал очередной документ, требующий уже от всех импортеров принять меры, направленные на изъятие из оборота алкогольной продукции, ввезенной в Россию из Республики Молдова и Грузии и изготовленной на территории указанных государств.	main		PROPN	NOUN	Anim	Inan	Nom	Acc	SO		нанести
	1	false	2007Darts.xml_22	трещины	сектора	образовывали	false	NP syncretism: Fem Nom=Acc (Inan Plur)	false	NP syncretism: Inan Masc	false		SVO	Со временем дерево рассыхалось и трещины сами собой образовывали сектора.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		образовывать
	1	false	2007Led.xml_90	клубы	выезды	организуют	false	NP syncretism: Inan Masc, and modifier does not help	false	NP syncretism: Inan Masc, and modifier does not help	false		SVO	Столичные клубы в зимний период организуют регулярные выезды на подмосковные водоемы.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		организовывать
	1	false	2011Planerizm.xml_76	термики	облака	создают	false	NP syncretism: Inan Masc	false	NP syncretism: Neut Inan, and modifier does not help	false		SVO	Когда влажность воздуха невысока или когда инверсия останавливает теплый воздух слишком высоко, чтобы влага конденсировалась, термики не создают кучевые облака.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		создавать
	1	false	2014Chto_budet_posle.xml_108	государство	значение	имело	false	NP syncretism: Neut Inan	false	NP syncretism: Neut Inan, and modifier does not help	false		SVO	Прежде всего, государство во все времена имело важное значение в экономике.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		иметь
	1	false	newsYa_25.xml_43	поведение	руководство	удовлетворило	false	NP syncretism: Neut Inan, and modifier does not help	false	NP syncretism: Neut Inan, and modifier does not help	false		SVO	Такое поведение палестинского лидера не удовлетворило египетское руководство, следствием чего стало раскрытие последним информации о переправке оружия, передает MIGNews.com.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		удовлетворить
	1	false	uppsalaKorp_618.xml_91	материалы	свойства	изменяют	false	NP syncretism: Inan Masc, and modifier does not help	false	NP syncretism: Neut Inan, and modifier does not help	false		SVO	В таких условиях все обычные материалы изменяют свои свойства и нередко их рабочие характеристики значительно ухудшаются.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		изменять
	1	true	dev-s28	хоралы	распространение	получили	false	NP syncretism: Inan Masc, and modifier does not help	false	NP syncretism: Neut Inan	true	Number: different	OVS	В Средние века в Дании были популярны песни скальдов, позднее с христианизацией страны распространение получили григорианские хоралы.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	OS		получить
	1	true	train-s474	правительство	требования	удовлетворило	false	NP syncretism: Neut Inan	false	NP syncretism: Neut Inan, and modifier does not help	true	Number: different	SVO	Несмотря на военное поражение паулистов, правительство впоследствии удовлетворило многие требования революционеров -- назначение невоенного губернатора штата, выборы в Конституционную ассамблею и принятие новой конституции в 1934 году.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		удовлетворить
